strike,market_price,fem_price,abs_error,sq_error,moneyness,set,date,maturity,expiry,tau,S0,S_max,sigma_calibrated,group_strike,group_moneyness
36.0,5.08,5.079774157523061,0.00022584247693924198,5.1004824390052044e-08,0.8737864077669902,train,2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,138.0,0.09437101029516637,36.0,0.8737864077669902
37.0,4.23,4.229586351930773,0.0004136480692276123,1.7110472517573155e-07,0.8980582524271844,train,2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,138.0,0.13973247670922195,37.0,0.8980582524271844
38.0,3.41,3.4100545673934404,5.4567393440230205e-05,2.9776004268608783e-09,0.9223300970873786,train,2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,138.0,0.1558985941603946,38.0,0.9223300970873786
39.0,2.68,2.681222812239371,0.0012228122393707075,1.4952697727548043e-06,0.9466019417475727,train,2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,138.0,0.16679606235920919,39.0,0.9466019417475727
40.0,2.03,2.0296291352157434,0.00037086478425640834,1.3754068820155232e-07,0.9708737864077669,train,2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,138.0,0.1718712351112104,40.0,0.9708737864077669
41.0,1.49,1.48983390801914,0.00016609198085992816,2.7586546105974742e-08,0.9951456310679611,train,2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,138.0,0.17585128161481609,41.0,0.9951456310679611
42.0,1.06,1.0596797308869421,0.00032026911305793604,1.0257230477891701e-07,1.0194174757281553,train,2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,138.0,0.17899375943342202,42.0,1.0194174757281553
43.0,0.73,0.7289303205546153,0.0010696794453847192,1.1442141158785604e-06,1.0436893203883495,train,2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,138.0,0.18135793239281855,43.0,1.0436893203883495
44.0,0.49,0.49037958908695234,0.0003795890869523477,1.44087874933317e-07,1.0679611650485437,train,2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,138.0,0.18398914828873394,44.0,1.0679611650485437
45.0,0.32,0.31934329383246235,0.0006567061675376573,4.3126299048199765e-07,1.0922330097087378,train,2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,138.0,0.18596447542130254,45.0,1.0922330097087378
46.0,0.22,0.22017152820095368,0.0001715282009536745,2.9421923722404138e-08,1.116504854368932,train,2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,138.0,0.19186109264595644,46.0,1.116504854368932
